Field ,Type,Description 
ts,time ,Timestamp of the DNS request 
uid,string,Unique id of the connection 
id.orig_h,recor ,ID record with orig host. See conn.log 
id.orig_p,recor ,ID record with orig port. See conn.log 
id.resp_h,recor ,ID record with resp host. See conn.log 
id.resp_p,recor ,ID record with resp port. See conn.log 
proto,proto,Protocol of DNS transaction – TCP or UDP 
trans_id,count,16 bit identifier assigned by DNS client; responses match 
query,string,Domain name subject of the query 
qclass,count,Value specifying the query class 
qclass_name,string,Descriptive name of the query class (e.g. C_INTERNET) 
qtype,count,Value specifying the query type 
qtype_name,string,"Name of the query type (e.g. A, AAAA, PTR) "
rcode,count,Response code value in the DNS response 
rcode_name,string,"Descriptive name of the response code (e.g. NOERROR, NXDOMAIN) "
AA,bool,Authoritative Answer. T = server is authoritative for query 
TC,bool, The Truncation bit specifies that the message was truncated.
RD,bool, The Recursion Desired bit in a request message indicates that the client wants recursive service for this query.
RA,bool ,Recursion Available. T = server supports recursive queries 
Z,count,"Reserved field, should be zero in all queries & responses "
answers,vector,List of resource descriptions in answer to the query 
TTLs,vector,Caching intervals of the answers 
rejected,bool ,Whether the DNS query was rejected by the server 
